fecha,cnae_cod,cnae_nombre,afiliados_medios_reg_general,afiliados_medios_autonomos,afiliados_medios_total
2009-03-01,65,"Seguros, reaseguros y fondos de pensiones",59858.63,4117.77,63976.399999999994
2009-03-01,66,Actividades auxiliares a los servicios financieros y segur.,45557.54,43230.36,88787.9
2009-03-01,68,Actividades inmobiliarias,65321.36,30653.31,95974.67
2009-03-01,69,Actividades jurídicas y de contabilidad,219193,66895.36,286088.36
2009-03-01,70,Actividades de las sedes centrales; activ. Consul. Gest. Empr.,51785.68,15103.95,66889.63
2009-03-01,71,Servicios técnicos de arquitectura e ingeniería,190594.86,49714.72,240309.58
2009-03-01,72,Investigación y desarrollo,53585.63,8941.86,62527.49
2009-03-01,73,Publicidad y estudios de mercado,88738.86,22977.54,111716.4
2009-03-01,74,"Otras actividades profesionales, científicas y técnicas",36810.22,29983.45,66793.67
2009-03-01,75,Actividades veterinarias,9279.86,8183.13,17462.99
2009-03-01,77,Actividades de alquiler,178311.68,53328.72,231640.4
2009-03-01,78,Actividades relacionadas con el empleo,103615.09,1792.81,105407.9
2009-03-01,79,"Actividades de agencias de viajes, operadores turis.",48186.4,10316.18,58502.58
2009-03-01,80,Actividades de seguridad e investigación,121835.36,1809.59,123644.95
2009-03-01,81,Servicios a edificios y actividades de jardinería,496339.81,46923.13,543262.94
2009-03-01,82,Actividades administrativas de oficina y activ. Aux. empresas,137749.9,19873.72,157623.62
2009-03-01,84,Administración Pòblica y defensa; Seguridad Soc. oblig.,1071621.81,479.81,1072101.62
2009-03-01,85,Educación,707964.86,57727.13,765691.99
2009-03-01,86,Actividades sanitarias,849895.5,67117.81,917013.31
2009-03-01,87,Asistencia en establecimientos residenciales,182754.9,2362.22,185117.12
2009-03-01,88,Actividades de servicios sociales sin alojamiento,222683.59,3702.68,226386.27
2009-03-01,90,"Actividades de creación, artísticas y espectáculos",26637.86,25076.31,51714.17
2009-03-01,91,"Actividades de bibliotecas, archivos, museos y o. act. Cult.",14173.54,1666.59,15840.130000000001
2009-03-01,92,Actividades de juegos de azar y apuestas,29942.72,5248.9,35191.62
2009-03-01,93,"Actividades deportivas, recreativas y de entretenimiento",125179.4,18174.04,143353.44
2009-03-01,94,Actividades asociativas,141779.63,19926.81,161706.44
2009-03-01,95,"Reparación de ordenadores, efectos personales y uso dom.",38366.68,77446.17,115812.85
2009-03-01,96,Otros servicios personales,158269.59,113585.45,271855.04
2009-03-01,97,Actividades de los hogares como empleado,41570.22,320.4,41890.62
2009-03-01,98,Actividades de los hogares como productores de bienes,0,0,0
2009-03-01,99,Actividades de organizaciones y organ. Extraterritoriales,2124.04,11.86,2135.9
2009-04-01,01,"Agricultura, ganadería, caza y servicios",34785.65,292590.35,327376
2009-04-01,02,Silvicultura y explotación forestal,19671.6,3330,23001.6
2009-04-01,03,Pesca y acuicultura,1967.2,2854,4821.2
2009-04-01,05,"Extracción de antracita, hulla y lignito",96.35,271.95,368.29999999999995
2009-04-01,06,Extracción de crudo de petróleo y gas natural,37,7,44
2009-04-01,07,Extracción de minerales metálicos,1386.15,69.9,1456.0500000000002
2009-04-01,08,Otras industrias extractivas,23291.9,1921.7,25213.600000000002
2009-04-01,09,Actividades de apoyo a las industrias extractivas,1461.4,106,1567.4
2009-04-01,10,Industria de la alimentación,300126.75,38609.4,338736.15
2009-04-01,11,Fabricación de bebidas,48806.1,3402.25,52208.35
2009-04-01,12,Industria del tabaco,3635.35,49,3684.35
